N,Price,Example,Error
1000,1.027210539,put_call_quad,1.297079461
5000,1.337533777,put_call_quad,0.986756223
10000,1.369745015,put_call_quad,0.954544985
50000,1.220189463,put_call_quad,1.104100537
100000,1.284397877,put_call_quad,1.039892123
500000,1.351164567,put_call_quad,0.973125433
1000000,1.344846553,put_call_quad,0.979443447
1000,1.139975406,put_only,1.184314594
5000,1.20122598,put_only,1.12306402
10000,1.274419471,put_only,1.049870529
50000,1.108195171,put_only,1.216094829
100000,1.220677427,put_only,1.103612573
500000,1.160188214,put_only,1.164101786
1000000,1.380086066,put_only,0.944203934
1000,1.07143433,put_call_cubic,1.25285567
5000,1.295326865,put_call_cubic,1.028963135
10000,1.389113448,put_call_cubic,0.935176552
50000,1.083561414,put_call_cubic,1.240728586
100000,1.200478395,put_call_cubic,1.123811605
500000,1.293165584,put_call_cubic,1.031124416
1000000,1.288227254,put_call_cubic,1.036062746
1000,1.027210539,put_call_quad_int,1.297079461
5000,1.336174756,put_call_quad_int,0.988115244
10000,1.369745015,put_call_quad_int,0.954544985
50000,1.224238997,put_call_quad_int,1.100051003
100000,1.278023411,put_call_quad_int,1.046266589
500000,1.348313663,put_call_quad_int,0.975976337
1000000,1.32601396,put_call_quad_int,0.99827604
1000,1.111099665,Degree2Poly,1.213190335
5000,1.011110745,Degree2Poly,1.313179255
10000,1.156729157,Degree2Poly,1.167560843
50000,1.192160075,Degree2Poly,1.132129925
100000,1.188898075,Degree2Poly,1.135391925
500000,1.191859304,Degree2Poly,1.132430696
1000000,1.189757006,Degree2Poly,1.134532994

