"N","Price","Degree","Error"
1000,1.11109966460269,2,1.21319033539731
5000,1.0111107451897,2,1.3131792548103
10000,1.15672915748619,2,1.16756084251381
50000,1.19216007467341,2,1.13212992532659
100000,1.18889807520093,2,1.13539192479907
500000,1.19185930420678,2,1.13243069579322
1000000,1.18975700579148,2,1.13453299420852
1000,1.11887489396004,3,1.20541510603996
5000,1.01347832351956,3,1.31081167648044
10000,1.1575701458184,3,1.1667198541816
50000,1.00972158316788,3,1.31456841683212
100000,1.04983535922263,3,1.27445464077737
500000,1.04563556599839,3,1.27865443400161
1000000,1.04502688615782,3,1.27926311384218
1000,1.11931066660332,4,1.20497933339668
5000,1.02858343879133,4,1.29570656120867
10000,1.15993580757442,4,1.16435419242558
50000,1.01855036763454,4,1.30573963236546
100000,1.07827817071647,4,1.24601182928353
500000,1.04956155614317,4,1.27472844385683
1000000,1.0469105708981,4,1.2773794291019
1000,1.14163091221828,5,1.18265908778172
5000,1.04406816849019,5,1.28022183150981
10000,1.16451160782425,5,1.15977839217575
50000,1.03290263609158,5,1.29138736390842
100000,1.09057622845604,5,1.23371377154396
500000,1.05636513404517,5,1.26792486595483
1000000,1.10843696337644,5,1.21585303662356
